site.sp,site,bin,Case
VB_.Puma yagouaroundi,VB_,Puma yagouaroundi,binomial
VB_.Tamandua mexicana,VB_,Tamandua mexicana,binomial
VB_.Metachirus nudicaudatus,VB_,Metachirus nudicaudatus,binomial
VB_.Nothocercus bonapartei,VB_,Nothocercus bonapartei,binomial
VB_.Penelope purpurascens,VB_,Penelope purpurascens,binomial
VB_.Didelphis virginiana,VB_,Didelphis virginiana,binomial
VB_.Odocoileus virginianus,VB_,Odocoileus virginianus,binomial
VB_.Proechimys semispinosus,VB_,Proechimys semispinosus,binomial
VB_.Eira barbara,VB_,Eira barbara,binomial
VB_.Odontophorus leucolaemus,VB_,Odontophorus leucolaemus,binomial
VB_.Sciurus granatensis,VB_,Sciurus granatensis,binomial
VB_.Conepatus semistriatus,VB_,Conepatus semistriatus,binomial
BIF.Thryonomys gregorianus,BIF,Thryonomys gregorianus,binomial
BIF.Mellivora capensis,BIF,Mellivora capensis,binomial
BIF.Tragelaphus spekii,BIF,Tragelaphus spekii,binomial
BIF.Guttera pucherani,BIF,Guttera pucherani,binomial
BIF.Loxodonta africana,BIF,Loxodonta africana,binomial
BIF.Phataginus tricuspis,BIF,Phataginus tricuspis,binomial
BIF.Cercopithecus mitis,BIF,Cercopithecus mitis,binomial
BIF.Atilax paludinosus,BIF,Atilax paludinosus,binomial
BIF.Cricetomys emini,BIF,Cricetomys emini,binomial
BIF.Gorilla beringei,BIF,Gorilla beringei,binomial
BIF.Nandinia binotata,BIF,Nandinia binotata,binomial
BIF.Atherurus africanus,BIF,Atherurus africanus,binomial
BIF.Civettictis civetta,BIF,Civettictis civetta,binomial
BIF.Thryonomys swinderianus,BIF,Thryonomys swinderianus,binomial
BIF.Canis adustus,BIF,Canis adustus,binomial
BIF.Cephalophus weynsi,BIF,Cephalophus weynsi,binomial
BIF.Leptailurus serval,BIF,Leptailurus serval,binomial
BIF.Tragelaphus scriptus,BIF,Tragelaphus scriptus,binomial
BBS.Cynogale bennettii,BBS,Cynogale bennettii,binomial
BBS.Lutra lutra,BBS,Lutra lutra,binomial
BBS.Prionodon linsang,BBS,Prionodon linsang,binomial
BBS.Trichys fasciculata,BBS,Trichys fasciculata,binomial
BBS.Rollulus rouloul,BBS,Rollulus rouloul,binomial
BBS.Manis javanica,BBS,Manis javanica,binomial
BBS.Neofelis nebulosa,BBS,Neofelis nebulosa,binomial
BBS.Panthera tigris,BBS,Panthera tigris,binomial
BBS.Herpestes brachyurus,BBS,Herpestes brachyurus,binomial
BBS.Helarctos malayanus,BBS,Helarctos malayanus,binomial
BBS.Tupaia tana,BBS,Tupaia tana,binomial
BBS.Arctictis binturong,BBS,Arctictis binturong,binomial
BBS.Prionailurus bengalensis,BBS,Prionailurus bengalensis,binomial
BBS.Chalcophaps indica,BBS,Chalcophaps indica,binomial
BBS.Echinosorex gymnura,BBS,Echinosorex gymnura,binomial
BBS.Macaca fascicularis,BBS,Macaca fascicularis,binomial
BBS.Pardofelis marmorata,BBS,Pardofelis marmorata,binomial
BBS.Hemigalus derbyanus,BBS,Hemigalus derbyanus,binomial
BBS.Pardofelis temminckii,BBS,Pardofelis temminckii,binomial
BBS.Elephas maximus,BBS,Elephas maximus,binomial
BBS.Lariscus insignis,BBS,Lariscus insignis,binomial
BBS.Cuon alpinus,BBS,Cuon alpinus,binomial
BBS.Gallus gallus,BBS,Gallus gallus,binomial
BBS.Paguma larvata,BBS,Paguma larvata,binomial
NAK.Lophura nycthemera,NAK,Lophura nycthemera,binomial
NAK.Polyplectron bicalcaratum,NAK,Polyplectron bicalcaratum,binomial
NAK.Pardofelis marmorata,NAK,Pardofelis marmorata,binomial
NAK.Pardofelis temminckii,NAK,Pardofelis temminckii,binomial
NAK.Arborophila chloropus,NAK,Arborophila chloropus,binomial
NAK.Macaca arctoides,NAK,Macaca arctoides,binomial
NAK.Francolinus pintadeanus,NAK,Francolinus pintadeanus,binomial
NAK.Arctictis binturong,NAK,Arctictis binturong,binomial
NAK.Prionailurus bengalensis,NAK,Prionailurus bengalensis,binomial
NAK.Melogale personata,NAK,Melogale personata,binomial
NAK.Leopoldamys sabanus,NAK,Leopoldamys sabanus,binomial
NAK.Manis javanica,NAK,Manis javanica,binomial
