Sampling.Unit.Name,Time,Temp.max,Temp.min,Temp.var
CT-VB-1-12,6,27,18,6.84914361
CT-VB-3-13,6,17,12,1.97501967
CT-VB-3-12,6,16,14,1.2
CT-VB-2-5,6,25,18,6.687322769
CT-VB-1-7,6,23,20,1.025641026
CT-VB-1-11,6,24,20,2.079310345
CT-VB-2-11,6,18,18,0
CT-VB-3-20,6,13,7,4.114793679
CT-VB-3-11,6,13,13,0
CT-VB-1-14,6,24,24,0
