Site.Code,Sampling.Unit.Name,Sampling.Period,Temp.Min,Temp.Max,Temp.Var,Year
BIF,CT-BIF-1-19,2012.01,13,19,5.142857143,2013
BIF,CT-BIF-2-29,2012.01,15,17,0.201098901,2013
BIF,CT-BIF-2-20,2012.01,15,16,0.128571429,2013
BIF,CT-BIF-1-22,2012.01,12,20,1.499351884,2013
BIF,CT-BIF-1-16,2012.01,13,16,1.274922601,2013
BIF,CT-BIF-1-14,2012.01,11,17,1.253043442,2013
BIF,CT-BIF-2-19,2012.01,14,21,8.4,2013
BIF,CT-BIF-1-17,2012.01,12,17,3.009950249,2013
BIF,CT-BIF-1-07,2012.01,12,14,0.340909091,2013
BIF,CT-BIF-1-13,2012.01,11,18,4.755487383,2013
BIF,CT-BIF-2-25,2012.01,14,21,5.973464373,2013
BIF,CT-BIF-1-11,2012.01,6,20,18.17902234,2013
BIF,CT-BIF-1-10,2012.01,12,16,0.832182603,2013
BIF,CT-BIF-2-30,2012.01,15,21,6.078571429,2013
BIF,CT-BIF-2-24,2012.01,14,22,9.144346431,2013
BIF,CT-BIF-1-09,2012.01,11,17,3.120042974,2013
BIF,CT-BIF-1-08,2012.01,14,14,0,2013
BIF,CT-BIF-2-26,2012.01,14,20,8.617021277,2013
BIF,CT-BIF-2-11,2012.01,13,18,5.301136364,2013
BIF,CT-BIF-2-14,2012.01,17,19,0.243356643,2013
BIF,CT-BIF-2-15,2012.01,18,21,0.353389831,2013
BIF,CT-BIF-2-27,2012.01,18,18,0,2013
BIF,CT-BIF-2-16,2012.01,13,23,4.164673074,2013
BIF,CT-BIF-2-12,2012.01,12,23,13.89080164,2013
BIF,CT-BIF-2-06,2012.01,13,13,0,2013
BIF,CT-BIF-1-05,2012.01,11,18,6.480739272,2013
BIF,CT-BIF-2-10,2012.01,12,20,8.998577525,2013
BIF,CT-BIF-2-08,2012.01,13,23,15.76153846,2013
BIF,CT-BIF-2-05,2012.01,15,15,0,2013
BIF,CT-BIF-1-03,2012.01,9,14,2.968437527,2013
BIF,CT-BIF-2-07,2012.01,17,17,0,2013
BIF,CT-BIF-2-03,2012.01,14,19,0.771573604,2013
BIF,CT-BIF-2-04,2012.01,13,18,3.421383648,2013
BIF,CT-BIF-2-13,2012.01,14,19,0.566751771,2013
PSH,CT-PSH-1-15,2011.01,22,27,1.736804395,2011
PSH,CT-PSH-1-16,2011.01,24,24,0,2011
PSH,CT-PSH-1-27,2011.01,21,27,1.268604411,2011
PSH,CT-PSH-2-16,2011.01,21,25,1.402116402,2011
PSH,CT-PSH-2-27,2011.01,20,24,2.461956522,2011
PSH,CT-PSH-1-10,2011.01,21,26,2.513513514,2011
PSH,CT-PSH-1-14,2011.01,23,26,1.2,2011
PSH,CT-PSH-2-05,2011.01,21,24,0.670634921,2011
PSH,CT-PSH-1-09,2011.01,22,26,0.511234424,2011
PSH,CT-PSH-1-12,2011.01,22,26,1.018181818,2011
PSH,CT-PSH-1-28,2011.01,21,24,1.599489796,2011
PSH,CT-PSH-1-13,2011.01,20,24,0.988095238,2011
PSH,CT-PSH-2-04,2011.01,21,23,0.270017534,2011
PSH,CT-PSH-1-11,2011.01,21,28,2.833952644,2011
PSH,CT-PSH-2-15,2011.01,22,22,0,2011
PSH,CT-PSH-2-03,2011.01,20,23,0.830020704,2011
PSH,CT-PSH-2-19,2011.01,21,28,6.449041608,2011
PSH,CT-PSH-2-29,2011.01,25,25,0,2011
PSH,CT-PSH-1-25,2011.01,22,26,0.942983408,2011
