"","sitecode","trap_ID","lat","long","buffer_m","fc_threshold","fc_npix","fc_frac_loss","fc_frac_gain","fc_frac_lossgain"
"206","BCI","CT-BCI-1-09",9.11801817,-79.8251219100005,"60m buffer",75,13,0,0,0
"207","BCI","CT-BCI-1-09",9.11801817,-79.8251219100005,"120m buffer",75,47,0,0,0
"208","BCI","CT-BCI-1-10",9.11775664999998,-79.8122260200006,"30m buffer",75,2,0,0,0
"209","BCI","CT-BCI-1-10",9.11775664999998,-79.8122260200006,"60m buffer",75,10,0,0,0
"210","BCI","CT-BCI-1-10",9.11775664999998,-79.8122260200006,"120m buffer",75,45,0,0,0
"211","BCI","CT-BCI-1-11",9.16912179000002,-79.8893039900004,"30m buffer",75,3,0,0,0
"212","BCI","CT-BCI-1-11",9.16912179000002,-79.8893039900004,"60m buffer",75,14,0,0,0
"213","BCI","CT-BCI-1-11",9.16912179000002,-79.8893039900004,"120m buffer",75,48,0,0,0
"214","BCI","CT-BCI-1-12",9.09187375999995,-79.8124281000007,"30m buffer",75,3,0,0,0
"215","BCI","CT-BCI-1-12",9.09187375999995,-79.8124281000007,"60m buffer",75,13,0,0,0
"216","BCI","CT-BCI-1-12",9.09187375999995,-79.8124281000007,"120m buffer",75,48,0,0,0
"217","BCI","CT-BCI-1-13",9.14365178999995,-79.8891980400005,"30m buffer",75,3,0,0,0
"218","BCI","CT-BCI-1-13",9.14365178999995,-79.8891980400005,"60m buffer",75,11,0,0,0
"219","BCI","CT-BCI-1-13",9.14365178999995,-79.8891980400005,"120m buffer",75,47,0,0,0
"220","BCI","CT-BCI-1-14",9.14386377,-79.8764898200005,"30m buffer",75,2,0,0,0
"221","BCI","CT-BCI-1-14",9.14386377,-79.8764898200005,"60m buffer",75,11,0,0,0
"222","BCI","CT-BCI-1-14",9.14386377,-79.8764898200005,"120m buffer",75,47,0,0,0
"223","BCI","CT-BCI-1-15",9.14394749999997,-79.8505276300005,"30m buffer",75,3,0,0,0
"224","BCI","CT-BCI-1-15",9.14394749999997,-79.8505276300005,"60m buffer",75,11,0,0,0
"225","BCI","CT-BCI-1-15",9.14394749999997,-79.8505276300005,"120m buffer",75,47,0,0,0
"226","BCI","CT-BCI-1-16",9.14340485999996,-79.7861979400007,"30m buffer",75,3,0,0,0
"227","BCI","CT-BCI-1-16",9.14340485999996,-79.7861979400007,"60m buffer",75,13,0,0,0
"228","BCI","CT-BCI-1-16",9.14340485999996,-79.7861979400007,"120m buffer",75,49,0,0,0
"229","BCI","CT-BCI-1-17",9.19153365999998,-79.8099848600006,"30m buffer",75,2,0,0,0
"230","BCI","CT-BCI-1-17",9.19153365999998,-79.8099848600006,"60m buffer",75,12,0,0,0
"231","BCI","CT-BCI-1-17",9.19153365999998,-79.8099848600006,"120m buffer",75,46,0,0,0
"232","BCI","CT-BCI-1-18",9.15645297000001,-79.8892325700005,"30m buffer",75,3,0,0,0
"233","BCI","CT-BCI-1-18",9.15645297000001,-79.8892325700005,"60m buffer",75,13,0,0,0
"234","BCI","CT-BCI-1-18",9.15645297000001,-79.8892325700005,"120m buffer",75,47,0,0,0
"235","BCI","CT-BCI-1-19",9.15664022000002,-79.8634775000005,"30m buffer",75,2,0,0,0
"236","BCI","CT-BCI-1-19",9.15664022000002,-79.8634775000005,"60m buffer",75,12,0,0,0
"237","BCI","CT-BCI-1-19",9.15664022000002,-79.8634775000005,"120m buffer",75,46,0,0,0
"238","BCI","CT-BCI-1-20",9.15632548,-79.8504944300005,"30m buffer",75,3,0,0,0
"239","BCI","CT-BCI-1-20",9.15632548,-79.8504944300005,"60m buffer",75,13,0,0,0
"240","BCI","CT-BCI-1-20",9.15632548,-79.8504944300005,"120m buffer",75,47,0,0,0
"241","BCI","CT-BCI-1-21",9.15651515999999,-79.8377477400006,"30m buffer",75,2,0,0,0
"242","BCI","CT-BCI-1-21",9.15651515999999,-79.8377477400006,"60m buffer",75,13,0,0,0
"243","BCI","CT-BCI-1-21",9.15651515999999,-79.8377477400006,"120m buffer",75,47,0,0,0
"244","BCI","CT-BCI-1-22",9.15677180999999,-79.8248090100006,"30m buffer",75,4,0,0,0
"245","BCI","CT-BCI-1-22",9.15677180999999,-79.8248090100006,"60m buffer",75,13,0,0,0
"246","BCI","CT-BCI-1-22",9.15677180999999,-79.8248090100006,"120m buffer",75,49,0,0,0
"247","BCI","CT-BCI-1-23",9.15620712999995,-79.7862987800007,"30m buffer",75,4,0,0,0
"248","BCI","CT-BCI-1-23",9.15620712999995,-79.7862987800007,"60m buffer",75,13,0,0,0
"249","BCI","CT-BCI-1-23",9.15620712999995,-79.7862987800007,"120m buffer",75,49,0,0,0
"250","BCI","CT-BCI-1-24",9.16918222999996,-79.8634486600005,"30m buffer",75,2,0,0,0
"251","BCI","CT-BCI-1-24",9.16918222999996,-79.8634486600005,"60m buffer",75,12,0,0,0
"252","BCI","CT-BCI-1-24",9.16918222999996,-79.8634486600005,"120m buffer",75,46,0,0,0
