site,sp,Site.sp,median.coeff,ind95,ind80,cont,rls,mass,class,guild,nyears,site_type,Hunted
PSH,Lariscus insignis,Lariscus insignis-PSH,0.098304114,stable,stable,AS,LC,200,MAMMALIA,Omnivore,3,settled,Yes
PSH,Leopoldamys sabanus,Leopoldamys sabanus-PSH,0.812134289,increasing,increasing,AS,LC,391,MAMMALIA,Insectivore,3,settled,Unknown
PSH,Sus scrofa,Sus scrofa-PSH,0.507982603,increasing,increasing,AS,LC,117286,MAMMALIA,Omnivore,3,settled,Yes
PSH,Herpestes brachyurus,Herpestes brachyurus-PSH,-0.332352596,stable,stable,AS,LC,2000,MAMMALIA,Carnivore,3,settled,Unknown
PSH,Tapirus indicus,Tapirus indicus-PSH,0.900681287,increasing,increasing,AS,EN,296250,MAMMALIA,Herbivore,3,settled,No
PSH,Cuon alpinus,Cuon alpinus-PSH,-0.843476913,stable,stable,AS,EN,12760,MAMMALIA,Carnivore,3,settled,Unknown
PSH,Tragulus kanchil,Tragulus kanchil-PSH,0.354300439,stable,increasing,AS,LC,2000,MAMMALIA,Herbivore,3,settled,Yes
PSH,Prionailurus planiceps,Prionailurus planiceps-PSH,0.658483545,stable,stable,AS,EN,3533,MAMMALIA,Omnivore,3,settled,Unknown
PSH,Martes flavigula,Martes flavigula-PSH,-0.261366508,stable,stable,AS,LC,1185,MAMMALIA,Omnivore,3,settled,Unknown
PSH,Muntiacus muntjak,Muntiacus muntjak-PSH,0.340800194,stable,stable,AS,LC,14000,MAMMALIA,Herbivore,3,settled,Yes
PSH,Rusa unicolor,Rusa unicolor-PSH,1.031318468,increasing,increasing,AS,VU,211620,MAMMALIA,Herbivore,3,settled,Yes
PSH,Presbytis siamensis,Presbytis siamensis-PSH,-0.392891191,stable,stable,AS,NT,6600,MAMMALIA,Herbivore,3,settled,Yes
PSH,Hystrix brachyura,Hystrix brachyura-PSH,0.683362591,increasing,increasing,AS,LC,8000,MAMMALIA,Omnivore,3,settled,Yes
PSH,Hemigalus derbyanus,Hemigalus derbyanus-PSH,0.207022272,stable,stable,AS,VU,2000,MAMMALIA,Carnivore,3,settled,Unknown
PSH,Pardofelis marmorata,Pardofelis marmorata-PSH,0.658483545,stable,stable,AS,VU,2459,MAMMALIA,Carnivore,3,settled,Yes
PSH,Helarctos malayanus,Helarctos malayanus-PSH,-0.340079484,stable,stable,AS,VU,47000,MAMMALIA,Omnivore,3,settled,Yes
PSH,Paguma larvata,Paguma larvata-PSH,3.44E-16,stable,stable,AS,LC,4300,MAMMALIA,Insectivore,3,settled,Unknown
PSH,Atherurus macrourus,Atherurus macrourus-PSH,0.387111274,stable,increasing,AS,LC,2000,MAMMALIA,Omnivore,3,settled,Yes
PSH,Capricornis sumatraensis,Capricornis sumatraensis-PSH,2.95E-16,stable,stable,AS,VU,140000,MAMMALIA,Herbivore,3,settled,Yes
PSH,Rhizomys sumatrensis,Rhizomys sumatrensis-PSH,-1.547129579,stable,decreasing,AS,LC,250,MAMMALIA,Herbivore,3,settled,Yes
PSH,Panthera pardus,Panthera pardus-PSH,-0.843476913,stable,stable,AS,NT,55615,MAMMALIA,Carnivore,3,settled,Yes
PSH,Echinosorex gymnura,Echinosorex gymnura-PSH,-0.313325238,stable,stable,AS,LC,957,MAMMALIA,Insectivore,3,settled,Unknown
PSH,Prionodon linsang,Prionodon linsang-PSH,-0.313325238,stable,stable,AS,LC,700,MAMMALIA,Carnivore,3,settled,Unknown
PSH,Sundasciurus hippurus,Sundasciurus hippurus-PSH,-0.658483545,stable,stable,AS,NT,500,MAMMALIA,Herbivore,3,settled,Yes
PSH,Arctictis binturong,Arctictis binturong-PSH,-0.392891191,stable,stable,AS,VU,13000,MAMMALIA,Carnivore,3,settled,Unknown
PSH,Rhinosciurus laticaudatus,Rhinosciurus laticaudatus-PSH,3.70E-16,stable,stable,AS,NT,221,MAMMALIA,Herbivore,3,settled,Unknown
PSH,Viverra zibetha,Viverra zibetha-PSH,1.93E-16,stable,stable,AS,NT,9000,MAMMALIA,Omnivore,3,settled,Unknown
PSH,Prionailurus bengalensis,Prionailurus bengalensis-PSH,0.224687848,stable,stable,AS,LC,3300,MAMMALIA,Carnivore,3,settled,Unknown
PSH,Manis javanica,Manis javanica-PSH,0.313325238,stable,stable,AS,EN,5150,MAMMALIA,Insectivore,3,settled,Yes
PSH,Pardofelis temminckii,Pardofelis temminckii-PSH,1.93E-16,stable,stable,AS,NT,12500,MAMMALIA,Carnivore,3,settled,Unknown
PSH,Callosciurus erythraeus,Callosciurus erythraeus-PSH,-1.090137979,stable,decreasing,AS,LC,280,MAMMALIA,Herbivore,3,settled,Yes
PSH,Neofelis nebulosa,Neofelis nebulosa-PSH,0.658483545,stable,stable,AS,VU,19852,MAMMALIA,Carnivore,3,settled,Yes
YAN,Cuniculus paca,Cuniculus paca-YAN,0.22681957,stable,increasing,LA,LC,8000,MAMMALIA,Herbivore,3,remote,No
YAN,Dasypus novemcinctus,Dasypus novemcinctus-YAN,0.036372879,stable,stable,LA,LC,4204,MAMMALIA,Herbivore,3,remote,No
YAN,Didelphis marsupialis,Didelphis marsupialis-YAN,1.185012395,increasing,increasing,LA,LC,1091,MAMMALIA,Omnivore,3,remote,No
YAN,Dasyprocta fuliginosa,Dasyprocta fuliginosa-YAN,0.073033831,stable,stable,LA,LC,3500,MAMMALIA,Herbivore,3,remote,No
YAN,Leopardus pardalis,Leopardus pardalis-YAN,0.374190218,stable,stable,LA,LC,11900,MAMMALIA,Carnivore,3,remote,No
YAN,Tapirus terrestris,Tapirus terrestris-YAN,3.44E-16,stable,stable,LA,VU,207501,MAMMALIA,Herbivore,3,remote,No
YAN,Nasua nasua,Nasua nasua-YAN,0.065081312,stable,stable,LA,LC,3794,MAMMALIA,Omnivore,3,remote,No
YAN,Sciurus spadiceus,Sciurus spadiceus-YAN,1.093706252,increasing,increasing,LA,LC,403,MAMMALIA,Herbivore,3,remote,No
YAN,Pecari tajacu,Pecari tajacu-YAN,-0.351784521,stable,stable,LA,LC,21267,MAMMALIA,Omnivore,3,remote,No
YAN,Puma concolor,Puma concolor-YAN,-0.270712205,stable,stable,LA,LC,51600,MAMMALIA,Carnivore,3,remote,No
YAN,Eira barbara,Eira barbara-YAN,0.219410868,stable,stable,LA,LC,3910,MAMMALIA,Omnivore,3,remote,No
